"Story","Title","Result","Date","Stability","Duration (s)"
"Permission controller test","This test will create new permission","SUCCESS","2022-09-27T13:31:14.152+05:30[Asia/Calcutta]","0.0","18.04"
"Permission controller test","This is test case will check /permissions/listAll api of security service","SUCCESS","2022-09-27T13:31:32.818+05:30[Asia/Calcutta]","0.0","1.51"
"Permission controller test","This test will upadate the permission","SUCCESS","2022-09-27T13:31:34.328+05:30[Asia/Calcutta]","0.0","0.26"
"Permission controller test","This test will find permission by id","SUCCESS","2022-09-27T13:31:34.589+05:30[Asia/Calcutta]","0.0","0.15"
"Permission controller test","This test will delete permission by id","SUCCESS","2022-09-27T13:31:34.744+05:30[Asia/Calcutta]","0.0","0.1"
"Role controller test","This test will create new role","SUCCESS","2022-09-27T13:31:39.935+05:30[Asia/Calcutta]","0.0","0.32"
"Role controller test","This is test case will check /roles/listAll api of security service","SUCCESS","2022-09-27T13:31:40.258+05:30[Asia/Calcutta]","0.0","0.76"
"Role controller test","This test will upadate the role","SUCCESS","2022-09-27T13:31:41.02+05:30[Asia/Calcutta]","0.0","0.78"
"Role controller test","This test will find role by id","SUCCESS","2022-09-27T13:31:41.8+05:30[Asia/Calcutta]","0.0","0.05"
"Role controller test","This test will delete permission by id","SUCCESS","2022-09-27T13:31:41.858+05:30[Asia/Calcutta]","0.0","0.06"
